x1_image,x2_image,main softmax,branch softmax,prediction_main,prediction_branch,true result
vehicle_images/1633894954056_Toyota Land Cruiser Sahara VX V8 DIESEL 2013 for sale.jpg,vehicle_images/1633900181509_Toyota Premio G Superior 2014 for sale.jpg,"[0.5210946798324585, 0.3323729336261749, 2.451886871313036e-07, 0.14653213322162628]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894954335_Toyota Land Cruiser Sahara VX V8 ICE PACK 2013 for sale.jpg,vehicle_images/1633900182058_Toyota Prius 3rd Gen 1st Owner 2012 for sale.jpg,"[0.5107353329658508, 0.1213446706533432, 0.00018114963313564658, 0.36773890256881714]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894982561_Toyota CHR GT Turbo 2017 for sale.jpg,vehicle_images/1633900183592_Toyota CHR NGX10 GT  TURBO 2018 for sale.jpg,"[0.0141062056645751, 0.005026037339121103, 0.0006855776300653815, 0.9801821708679199]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633894983765_Toyota Harrier 240G 2012 for sale.jpg,vehicle_images/1633900184198_Toyota Sprinter 1994 for sale.jpg,"[0.41457846760749817, 0.361321359872818, 4.1539880157870357e-07, 0.22409981489181519]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894984616_Toyota Aqua S Limiterd 2012 for sale.jpg,vehicle_images/1633900184685_Toyota Aqua 2013 for sale.jpg,"[0.22967123985290527, 0.31558263301849365, 0.11283961683511734, 0.3419065773487091]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633894984966_Toyota Aqua 2013 for sale.jpg,vehicle_images/1633900185597_Toyota CHR NGX 50 GT Turbo 2017 for sale.jpg,"[0.1647855043411255, 0.8223850727081299, 0.00035971446777693927, 0.012469800189137459]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633894985491_Toyota Vitz 2007 for sale.jpg,vehicle_images/1633900185928_Toyota Axio X Grade 2014 for sale.jpg,"[0.4990793764591217, 0.3860487937927246, 0.0024223539512604475, 0.11244941502809525]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633894985865_Toyota Premio G Superior 2012 for sale.jpg,vehicle_images/1633900222875_Toyota Land Cruiser Prado KDJ150R Europe 2014 for sale.jpg,"[0.0037863277830183506, 0.0024531998205929995, 2.3430986402672715e-05, 0.993736982345581]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633894986365_Toyota Land Cruiser Prado 5 Forwad 2015 for sale.jpg,vehicle_images/1633900223315_Toyota Yaris 2007 for sale.jpg,"[0.1821746528148651, 0.4017592966556549, 0.0006172792054712772, 0.41544878482818604]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895011445_Toyota Hilux ROCCO 2018 for sale.jpg,vehicle_images/1633900223942_Toyota CHR GT NGX10 2wd 2018 for sale.jpg,"[0.3533346951007843, 0.3168627619743347, 2.5226163415936753e-06, 0.3298000395298004]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895011620_Toyota Vitz 2018 for sale.jpg,vehicle_images/1633900224102_Toyota Hilux 2007 for sale.jpg,"[0.7937992215156555, 0.08946870267391205, 7.41585495234176e-07, 0.11673133820295334]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895011956_Toyota Prius 2009 for sale.jpg,vehicle_images/1633900224448_Toyota Allion 260 2008 for sale.jpg,"[0.3203447759151459, 0.5362011194229126, 8.517783385286748e-07, 0.14345325529575348]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895012548_Toyota Aqua 2013 for sale.jpg,vehicle_images/1633900224883_Toyota Aqua Limited Edition 2015 for sale.jpg,"[0.8202539682388306, 0.11317567527294159, 7.966569626205455e-08, 0.06657018512487411]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895012711_Toyota Axio G Grade 2015 for sale.jpg,vehicle_images/1633900225380_Toyota Aqua S Grade 2015 for sale.jpg,"[0.3338201940059662, 0.05768865719437599, 5.5369823712680954e-06, 0.6084855794906616]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895013316_Toyota Hilux 2011 for sale.jpg,vehicle_images/1633900225552_Toyota Allion 260 2007 for sale.jpg,"[0.2787778973579407, 0.657478392124176, 1.329634301328042e-06, 0.06374239176511765]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895013686_Toyota Aqua G Garde 2013 for sale.jpg,vehicle_images/1633900225723_Toyota Allion 260 2007 for sale.jpg,"[0.6587878465652466, 0.25648432970046997, 0.017345082014799118, 0.06738274544477463]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895013856_Toyota Passo 2007 for sale.jpg,vehicle_images/1633900226373_Toyota Voxy 2014 for sale.jpg,"[0.9007474780082703, 0.050464533269405365, 1.1032808515665238e-06, 0.04878692328929901]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895014816_Toyota Vitz Edition 3 2017 for sale.jpg,vehicle_images/1633900226547_Toyota CHR NGX 50 2018 for sale.jpg,"[0.048459187150001526, 0.31592339277267456, 0.4470423758029938, 0.18857510387897491]","[0.06291987746953964, 0.13015423715114594, 0.3090837895870209, 0.49784213304519653]",2,3,0
vehicle_images/1633895015306_Toyota Corona KE20 1980 for sale.jpg,vehicle_images/1633900227559_Toyota Aqua 2015 for sale.jpg,"[0.2864345610141754, 0.7064063549041748, 0.00019799717119894922, 0.006961027625948191]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895015706_Toyota Land Cruiser Sahara Vx V8 2015 for sale.jpg,vehicle_images/1633900228088_Toyota Vitz Safety 2019 Reg 2016 for sale.jpg,"[0.03870795667171478, 0.938523530960083, 1.1639737067525857e-06, 0.022767428308725357]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895039045_Toyota Premio 2017 for sale.jpg,vehicle_images/1633900262492_Toyota Vitz Safety edition 2019 for sale.jpg,"[0.7519571185112, 0.20118993520736694, 0.0007810191600583494, 0.04607197269797325]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895039205_Toyota Roomy 2017 for sale.jpg,vehicle_images/1633900263128_Toyota Prius 2011 for sale.jpg,"[0.6791340708732605, 0.20064352452754974, 0.0022396137937903404, 0.11798276752233505]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895039746_Toyota Axio G Limited 2013 for sale.jpg,vehicle_images/1633900263978_Toyota Passo 2011 for sale.jpg,"[0.8278652429580688, 0.06472701579332352, 7.328108608817274e-07, 0.10740698873996735]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895039946_Toyota Prius 3rd Generation 2013 for sale.jpg,vehicle_images/1633900264409_Toyota Vitz  2020 F grade 2019 for sale.jpg,"[0.9040509462356567, 0.07702723890542984, 0.004043829161673784, 0.014878012239933014]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895040312_Toyota Land Cruiser Sahara ZX V8 Bruno Cross 2014 for sale.jpg,vehicle_images/1633900264564_Toyota Premio G Superior 2013 for sale.jpg,"[0.3643968999385834, 0.5032438039779663, 5.827336281072348e-06, 0.1323535442352295]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895040496_Toyota Prius 2013 for sale.jpg,vehicle_images/1633900264720_Toyota Premio G superior 2013 for sale.jpg,"[0.16248303651809692, 0.08402164280414581, 0.00785716250538826, 0.7456381320953369]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895042216_Toyota Axio 2007 for sale.jpg,vehicle_images/1633900264876_Toyota Avanza 2007 for sale.jpg,"[0.0018098738510161638, 0.15678785741329193, 0.046846479177474976, 0.7945557832717896]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895042366_Toyota Vios 2003 for sale.jpg,vehicle_images/1633900265448_Toyota Harrier 2000 for sale.jpg,"[0.9216023683547974, 0.06434689462184906, 0.00043121635098941624, 0.013619593344628811]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895042843_Toyota Vitz KSP90 2007 for sale.jpg,vehicle_images/1633900265904_Toyota Axio 2015 for sale.jpg,"[0.5671330690383911, 0.02990822121500969, 4.606262109518866e-07, 0.4029582142829895]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895043531_Toyota Avanza 2014 for sale.jpg,vehicle_images/1633900266271_Toyota Allion 260 G Grade 2011 for sale.jpg,"[0.0588231198489666, 0.8669615983963013, 2.9456259653670713e-05, 0.074185810983181]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895074616_Toyota Axio G Grade 2015 for sale.jpg,vehicle_images/1633900300692_Toyota Premio NZT260 2013 for sale.jpg,"[0.27808308601379395, 0.04101993516087532, 9.67828441389429e-07, 0.680895984172821]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895075686_Toyota Aqua 2015 for sale.jpg,vehicle_images/1633900301032_Toyota Corolla CE 108 L Model 1997 for sale.jpg,"[0.058826886117458344, 0.3195999264717102, 0.0002595706610009074, 0.6213136911392212]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895076476_Toyota Land Cruiser Prado 120 GX 2007 for sale.jpg,vehicle_images/1633900302498_Toyota Premio F Grade 2007 for sale.jpg,"[0.7976353168487549, 0.151763454079628, 1.2389564290060662e-06, 0.05060000717639923]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895076805_Toyota Aqua G Grade 2013 for sale.jpg,vehicle_images/1633900302841_Toyota Axio G grade 2015 for sale.jpg,"[0.10529602319002151, 0.7990406155586243, 0.00048107493785209954, 0.09518235921859741]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895076963_Toyota Corolla 2007 for sale.jpg,vehicle_images/1633900303750_Toyota Land Cruiser Prado GX 2007 for sale.jpg,"[0.4053392708301544, 0.5600863099098206, 0.00010111681331181899, 0.0344732291996479]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895077315_Toyota Prius S Grade 2015 for sale.jpg,vehicle_images/1633900303922_Toyota Allion 2018 for sale.jpg,"[0.14062882959842682, 0.8409826755523682, 0.008837789297103882, 0.00955068040639162]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895106976_Toyota Land Cruiser Prado 2013 for sale.jpg,vehicle_images/1633900304462_Toyota CHR GT TRO 2017 for sale.jpg,"[0.565030574798584, 0.11055515706539154, 6.309652690106304e-06, 0.3244078755378723]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895107296_Toyota Axio 2015 for sale.jpg,vehicle_images/1633900304776_Toyota Aqua S Grade 2014 for sale.jpg,"[0.6679385304450989, 0.2589939534664154, 1.4415924852073658e-05, 0.07305316627025604]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895107618_Toyota Vitz 6 Speaker Safety 2017 for sale.jpg,vehicle_images/1633900305077_Toyota Prius S LED 2012 for sale.jpg,"[0.5706230401992798, 0.01117383036762476, 3.2596954468999684e-08, 0.4182031750679016]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895107806_Toyota Corolla 121 2005 for sale.jpg,vehicle_images/1633900305258_Toyota Prius G electric seat 2013 for sale.jpg,"[0.10653277486562729, 0.2764763832092285, 0.001409796648658812, 0.6155810356140137]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895107961_Toyota Premio 240 2004 for sale.jpg,vehicle_images/1633900305599_Toyota Premio 2011 for sale.jpg,"[0.5537722706794739, 0.3008286654949188, 0.00010202491102972999, 0.1452970802783966]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895108136_Toyota Land Cruiser Sahara ZX 2016 fully loaded for sale.jpg,vehicle_images/1633900343027_Toyota Prius 3rd Generation 2013 for sale.jpg,"[0.31677767634391785, 0.6440973281860352, 4.3774994992418215e-05, 0.03908116742968559]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895108316_Toyota Land Cruiser Sahara 100 Full Option 1999 for sale.jpg,vehicle_images/1633900343814_Toyota Passo 2017 for sale.jpg,"[0.2936292588710785, 0.689254879951477, 4.876800176134566e-06, 0.017111092805862427]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895108466_Toyota Land Cruiser Prado Sunroof 7 Seater 2010 for sale.jpg,vehicle_images/1633900344179_Toyota Aqua 2014 for sale.jpg,"[0.0005473173223435879, 0.000284772424492985, 0.9602572917938232, 0.03891058266162872]","[0.0014278664020821452, 0.008296861313283443, 0.7297980189323425, 0.2604772746562958]",2,2,0
vehicle_images/1633895108806_Toyota Axio 2016 for sale.jpg,vehicle_images/1633900344478_Toyota Vitz Edition 2 2018 for sale.jpg,"[0.6398710012435913, 0.0063877715729177, 1.6900730770430528e-05, 0.3537242114543915]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895109278_Toyota Allion NZT260 2010 for sale.jpg,vehicle_images/1633900346373_Toyota Allion 2017 for sale.jpg,"[0.7999945282936096, 0.19479939341545105, 0.0008018237422220409, 0.004404220264405012]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895109430_Toyota Axio 2008 for sale.jpg,vehicle_images/1633900346498_Toyota Axio 2018 for sale.jpg,"[0.8536586165428162, 0.007872900925576687, 5.832089300383814e-06, 0.13846266269683838]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895109575_Toyota Prius S Touring 2011 for sale.jpg,vehicle_images/1633900346763_Toyota Axio G Grade 2015 for sale.jpg,"[0.06425989419221878, 0.4643232226371765, 0.0007092024316079915, 0.47070759534835815]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895110406_Toyota Corolla 121 G Grade 2002 for sale.jpg,vehicle_images/1633900347571_Toyota Prius 2012 for sale.jpg,"[0.05299128592014313, 0.37581345438957214, 0.013561506755650043, 0.5576338171958923]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895110870_Toyota Prius 2013 for sale.jpg,vehicle_images/1633900373360_Toyota Allion 260 2010 for sale.jpg,"[0.8469803929328918, 0.012430597096681595, 9.194900485454127e-07, 0.14058817923069]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895139786_Toyota Vitz 2016 for sale.jpg,vehicle_images/1633900373532_Toyota Wigo G GRADE 2017 for sale.jpg,"[0.5291507244110107, 0.3886834681034088, 1.3804983609588817e-05, 0.08215195685625076]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895139977_Toyota Rush jeep 2007 for sale.jpg,vehicle_images/1633900374576_Toyota Aqua GS G Sport 2015 for sale.jpg,"[0.7954909801483154, 0.07735902816057205, 5.208249476140736e-08, 0.12714995443820953]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895140126_Toyota Premio 260 G SUPERIOR FEX 2017 for sale.jpg,vehicle_images/1633900375021_Toyota Premio G Superior 2014 for sale.jpg,"[0.2970064580440521, 0.19445033371448517, 1.1965734358909685e-07, 0.508543074131012]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895140565_Toyota Land Cruiser Prado TX 2010 for sale.jpg,vehicle_images/1633900376536_Toyota Fortuner 2013 for sale.jpg,"[0.14139363169670105, 0.20361152291297913, 4.738925326819299e-06, 0.6549901366233826]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895141076_Toyota Hilux Roco 2018 for sale.jpg,vehicle_images/1633900376676_Toyota Vios G Grade 2004 for sale.jpg,"[0.6604927778244019, 0.2694563567638397, 1.2966663234692533e-05, 0.07003791630268097]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895141266_Toyota Aqua 2015 for sale.jpg,vehicle_images/1633900377048_Toyota Hilux Vigo 2007 for sale.jpg,"[0.019622093066573143, 0.1498962640762329, 0.6828415989875793, 0.14764003455638885]","[0.015069636516273022, 0.04772092401981354, 0.5024307370185852, 0.43477874994277954]",2,2,0
vehicle_images/1633895141426_Toyota CHR 2018 for sale.jpg,vehicle_images/1633900378016_Toyota Premio G Superior 2017 for sale.jpg,"[0.5864987373352051, 0.4109523296356201, 2.0566345071415526e-08, 0.002549027791246772]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895141616_Toyota Axio 2015 for sale.jpg,vehicle_images/1633900406305_Toyota Axio 2015 for sale.jpg,"[0.44848790764808655, 0.46607506275177, 1.4949607418657251e-07, 0.0854368582367897]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895142446_Toyota Land Cruiser Prado 120 2003 for sale.jpg,vehicle_images/1633900408554_Toyota Axio CAP 2015 for sale.jpg,"[0.6707944273948669, 0.31206250190734863, 0.0007350781233981252, 0.016407998278737068]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895142590_Toyota Yaris 2018 for sale.jpg,vehicle_images/1633900409055_Toyota Premio F Ex G Superior 2017 for sale.jpg,"[0.5999565720558167, 0.15338104963302612, 3.7570230233541224e-06, 0.24665851891040802]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895143130_Toyota Belta 2009 for sale.jpg,vehicle_images/1633900409508_Toyota CHR NoX10 2018 for sale.jpg,"[0.09285721927881241, 0.5627352595329285, 0.0011329083936288953, 0.3432745933532715]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895171736_Toyota Wigo 2017 for sale.jpg,vehicle_images/1633900438115_Toyota Passo Safety 2016 for sale.jpg,"[0.47288331389427185, 0.48636361956596375, 5.708075605070917e-06, 0.04074734449386597]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895171901_Toyota Axio G Grade 2011 for sale.jpg,vehicle_images/1633900438271_Toyota Land Cruiser Prado 2017 G Frontior for sale.jpg,"[0.0003285674611106515, 0.0006078551523387432, 0.9566616415977478, 0.04240195453166962]","[0.00045747539843432605, 0.003498200559988618, 0.803845226764679, 0.19219908118247986]",2,2,0
vehicle_images/1633895173561_Toyota Allion G Plus  NZT260 2016 for sale.jpg,vehicle_images/1633900439042_Toyota CHR GT New Face 2WD 2019 for sale.jpg,"[0.023184340447187424, 0.0510740727186203, 0.23769697546958923, 0.6880446076393127]","[0.14058995246887207, 0.21702967584133148, 0.1851947009563446, 0.45718565583229065]",3,3,0
vehicle_images/1633895174046_Toyota Belta 2008 for sale.jpg,vehicle_images/1633900440068_Toyota CHR GT Turbo Red Top 2019 for sale.jpg,"[0.5339352488517761, 0.07689353078603745, 1.8346585761719325e-07, 0.3891710638999939]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895174181_Toyota Land Cruiser Sahara Deisel 2016 for sale.jpg,vehicle_images/1633900440399_Toyota Prius G Sport 2013 for sale.jpg,"[0.3765938878059387, 0.15998753905296326, 3.6293029097578255e-06, 0.46341490745544434]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895174336_Toyota Allion 260 NZT 2012 for sale.jpg,vehicle_images/1633900441140_Toyota Aqua 2012 for sale.jpg,"[0.17966318130493164, 0.628689706325531, 0.0005916712107136846, 0.19105538725852966]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895174526_Toyota Prius s 2012 for sale.jpg,vehicle_images/1633900441486_Toyota Axio 2013 for sale.jpg,"[0.3546264171600342, 0.6424827575683594, 0.0005811326554976404, 0.0023096147924661636]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895175805_Toyota Cami 4 X 1999 for sale.jpg,vehicle_images/1633900442373_Toyota Starlet 1996 for sale.jpg,"[0.6263369917869568, 0.3305342495441437, 4.2527935306679865e-07, 0.04312833771109581]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895203256_Toyota Land Cruiser Sahara V8 2013 for sale.jpg,vehicle_images/1633900442654_Toyota Corolla K50 1976 for sale.jpg,"[0.8879554867744446, 0.06710861623287201, 2.7016324111173162e-06, 0.04493311792612076]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895203586_Toyota Premio 2013 for sale.jpg,vehicle_images/1633900442797_Toyota Aqua 2013 for sale.jpg,"[0.7067466974258423, 0.27880504727363586, 3.7720261047979875e-07, 0.014447873458266258]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895203876_Toyota Vitz FM Safety Edition 2 2017 for sale.jpg,vehicle_images/1633900443310_Toyota Axio Nke 165 2014 for sale.jpg,"[0.5052974224090576, 0.3656892478466034, 2.1727657440351322e-05, 0.12899164855480194]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895205049_Toyota Corolla 121 2003 for sale.jpg,vehicle_images/1633900470863_Toyota CHR GT Turbo Blacktop 2018 for sale.jpg,"[0.07776514440774918, 0.8900570869445801, 2.97220321954228e-06, 0.03217481076717377]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895205588_Toyota IST FL 2007 for sale.jpg,vehicle_images/1633900471935_Toyota Axio 2014 for sale.jpg,"[0.8970426321029663, 0.021086344495415688, 5.531651822821004e-06, 0.08186541497707367]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
